motif_id	cisbp_tf_id	archive_motif_id	tf_status	tf_name	source_file	alternative_count	alternatives	status
M09589_2.00	T303212_3.10	M09589_3.10	D	HNF4A	TF_Information.txt	8	T303215_3.10;T303229_3.10;T303233_3.10;T303237_3.10;T303238_3.10;T303243_3.10;T303245_3.10;T303250_3.10	AMBIGUOUS
M09590_2.00	T303212_3.10	M09590_3.10	D	HNF4A	TF_Information.txt	8	T303215_3.10;T303229_3.10;T303233_3.10;T303237_3.10;T303238_3.10;T303243_3.10;T303245_3.10;T303250_3.10	AMBIGUOUS
M09591_2.00	T303244_3.10	M09591_3.10	D	NR2C2	TF_Information.txt	20	T303224_3.10;T303206_3.10;T303207_3.10;T303208_3.10;T303209_3.10;T303211_3.10;T303214_3.10;T303220_3.10;T303221_3.10;T303222_3.10;T303223_3.10;T303225_3.10;T303226_3.10;T303228_3.10;T303229_3.10;T303231_3.10;T303233_3.10;T303237_3.10;T303240_3.10;T303242_3.10	AMBIGUOUS
M09592_2.00	T303244_3.10	M09592_3.10	D	NR2C2	TF_Information.txt	20	T303224_3.10;T303206_3.10;T303207_3.10;T303208_3.10;T303209_3.10;T303211_3.10;T303214_3.10;T303220_3.10;T303221_3.10;T303222_3.10;T303223_3.10;T303225_3.10;T303226_3.10;T303228_3.10;T303229_3.10;T303231_3.10;T303233_3.10;T303237_3.10;T303240_3.10;T303242_3.10	AMBIGUOUS
M09593_2.00	T303245_3.10	M09593_3.10	D	NR2F2	TF_Information.txt	20	T303218_3.10;T303224_3.10;T303206_3.10;T303207_3.10;T303208_3.10;T303209_3.10;T303211_3.10;T303212_3.10;T303214_3.10;T303217_3.10;T303220_3.10;T303221_3.10;T303222_3.10;T303223_3.10;T303225_3.10;T303226_3.10;T303228_3.10;T303229_3.10;T303231_3.10;T303233_3.10	AMBIGUOUS
M09594_2.00	T303245_3.10	M09594_3.10	D	NR2F2	TF_Information.txt	20	T303218_3.10;T303224_3.10;T303206_3.10;T303207_3.10;T303208_3.10;T303209_3.10;T303211_3.10;T303212_3.10;T303214_3.10;T303217_3.10;T303220_3.10;T303221_3.10;T303222_3.10;T303223_3.10;T303225_3.10;T303226_3.10;T303228_3.10;T303229_3.10;T303231_3.10;T303233_3.10	AMBIGUOUS
M09596_2.00	T303217_3.10	M09596_3.10	I	NR5A2	TF_Information_all_motifs_plus.txt	4	T303227_3.10;T303229_3.10;T303246_3.10;T303250_3.10	AMBIGUOUS
M09597_2.00	T311644_3.10	M09597_3.10	D	PAX5	TF_Information.txt	7	T237339_3.10;T237340_3.10;T237341_3.10;T237343_3.10;T311642_3.10;T311643_3.10;T311645_3.10	AMBIGUOUS
M09598_2.00	T311644_3.10	M09598_3.10	D	PAX5	TF_Information.txt	7	T237339_3.10;T237340_3.10;T237341_3.10;T237343_3.10;T311642_3.10;T311643_3.10;T311645_3.10	AMBIGUOUS
M09599_2.00	T337444_3.10	M09599_3.10	D	STAT1	TF_Information.txt	0		OK
