source	motif_id	mapped_id	label	url	note
cisbp	M04562_2.00	T059761_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059761_3.10	CisBP TF report page
cisbp	M04563_2.00	T059763_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059763_3.10	CisBP TF report page
cisbp	M04564_2.00	T059763_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059763_3.10	CisBP TF report page
cisbp	M04565_2.00	T059763_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059763_3.10	CisBP TF report page
cisbp	M04566_2.00	T059763_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059763_3.10	CisBP TF report page
cisbp	M04567_2.00	T059763_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059763_3.10	CisBP TF report page
cisbp	M04568_2.00	T059763_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059763_3.10	CisBP TF report page
cisbp	M04569_2.00	T059764_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059764_3.10	CisBP TF report page
cisbp	M04570_2.00	T059764_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059764_3.10	CisBP TF report page
cisbp	M04571_2.00	T059764_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059764_3.10	CisBP TF report page
cisbp	M04572_2.00	T059764_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059764_3.10	CisBP TF report page
cisbp	M04573_2.00	T059764_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059764_3.10	CisBP TF report page
cisbp	M04574_2.00	T059764_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059764_3.10	CisBP TF report page
cisbp	M04575_2.00	T059764_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059764_3.10	CisBP TF report page
cisbp	M04576_2.00	T059764_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059764_3.10	CisBP TF report page
cisbp	M04577_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
cisbp	M04578_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
cisbp	M04579_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
cisbp	M04580_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
cisbp	M04581_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
cisbp	M04582_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
cisbp	M04583_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
cisbp	M04584_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
cisbp	M04585_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
cisbp	M04586_2.00	T059765_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T059765_3.10	CisBP TF report page
