motif_id	jaspar_name	jaspar_uniprot_id	tf_exists_in_modcredb	motif_file_exists	motif_ref_exists	db_evidence_type	db_mapping_type	matrix_status	status
MA0030.2	FOXF2		not_assessed	yes	no			usable	metadata_unavailable
MA0031.1	FOXD1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0031.2	FOXD1		not_assessed	yes	no			usable	metadata_unavailable
MA0032.1	FOXC1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0032.2	FOXC1		not_assessed	yes	no			usable	metadata_unavailable
MA0033.1	FOXL1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0033.2	FOXL1		not_assessed	yes	no			usable	metadata_unavailable
MA0034.1	Gam1		not_assessed	yes	no			usable	metadata_unavailable
MA0034.2	Gam1		not_assessed	yes	no			usable	metadata_unavailable
MA0035.1	Gata1		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0035.2	Gata1		not_assessed	yes	no			usable	metadata_unavailable
MA0035.3	Gata1		not_assessed	yes	no			usable	metadata_unavailable
MA0035.4	GATA1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0035.5	GATA1		not_assessed	yes	no			usable	metadata_unavailable
MA0036.1	GATA2		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0036.2	GATA2		not_assessed	yes	no			usable	metadata_unavailable
MA0036.3	GATA2		not_assessed	yes	no			usable	metadata_unavailable
MA0036.4	GATA2		not_assessed	yes	no			usable	metadata_unavailable
MA0037.1	GATA3		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0037.2	GATA3		not_assessed	yes	no			usable	metadata_unavailable
MA0037.3	GATA3		not_assessed	yes	no			usable	metadata_unavailable
MA0037.4	Gata3		not_assessed	yes	no			usable	metadata_unavailable
MA0037.5	Gata3		not_assessed	yes	no			usable	metadata_unavailable
MA0038.1	Gfi1		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0038.2	GFI1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0038.3	GFI1		not_assessed	yes	no			usable	metadata_unavailable
MA0039.1	Klf4		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0039.2	Klf4		not_assessed	yes	no			usable	metadata_unavailable
MA0039.3	KLF4		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0039.4	KLF4		not_assessed	yes	no			usable	metadata_unavailable
MA0039.5	KLF4		not_assessed	yes	no			usable	metadata_unavailable
MA0040.1	Foxq1		not_assessed	yes	yes	relative_homologous	distant_homolog	usable	metadata_unavailable
MA0040.2	Foxq1		not_assessed	yes	no			usable	metadata_unavailable
MA0041.1	Foxd3		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0041.2	FOXD3		not_assessed	yes	no			usable	metadata_unavailable
MA0041.3	FOXD3		not_assessed	yes	no			usable	metadata_unavailable
MA0042.1	FOXI1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0042.2	FOXI1		not_assessed	yes	no			usable	metadata_unavailable
MA0043.1	HLF		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0043.2	HLF		not_assessed	yes	no			usable	metadata_unavailable
MA0043.3	HLF		not_assessed	yes	no			usable	metadata_unavailable
MA0043.4	HLF		not_assessed	yes	no			usable	metadata_unavailable
MA0046.1	HNF1A		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0046.2	HNF1A		not_assessed	yes	no			usable	metadata_unavailable
MA0046.3	HNF1A		not_assessed	yes	no			usable	metadata_unavailable
MA0047.1	Foxa2		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
